鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
北投區,房地(土地+建物)+車位,臺北市北投區中央北路三段40巷34弄1~30號,16.26,住,,,10402,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990806,97.28999999999999,2,2,1,有,有,12800000,131565,升降機械,0.0,0,1.價格含增建。2.內含獨立權狀車位，未包含在棟數內。3.車位面積無法概算。,RPSOMLRJMHKFFEA08CA
北投區,房地(土地+建物),臺北市北投區榮華一路1~30號,13.71,住,,,10403,土地1建物1車位0,地下一層,5,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830909,62.57,0,0,0,無,有,6200000,99089,,0.0,0,,RPOPMLLJMHKFFEA17CA
士林區,車位,臺北市士林區士東路266巷15弄1~30號,3.45,住,,,10403,土地0建物0車位1,地下三層,15,其他,停車空間,鋼筋混凝土造,0971229,38.019999999999996,0,0,0,有,有,2900000,,坡道平面,38.02,2900000,,RPRNMLMJMHKFFEA37CA
士林區,車位,臺北市士林區芝玉路一段197巷1~30號,0.02,住,,,10403,土地0建物0車位1,,,其他,,,,43.79,0,0,0,有,有,2600000,,坡道平面,43.79,2600000,,RPQNMLSJMHKFFEA87CA
北投區,房地(土地+建物),臺北市北投區大屯路91~120號,167.98,住,,,10401,土地2建物1車位0,一層，二層，三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681128,251.88,4,3,3,有,無,29300000,116325,,0.0,0,含增建或未登記建物。,RPPOMLSJMHKFFEA87CA
士林區,土地,天母段四小段601~630地號,54.0,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2920000,54074,,0.0,0,,RPQNMLTJMHKFFEA97CA
士林區,房地(土地+建物),臺北市士林區文林路721~750號,105.0,住,,,10402,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0611227,239.07,5,2,4,有,無,58000000,242607,,0.0,0,,RPUPMLQKMHKFFEA38CA
士林區,土地,富安段二小段241~270地號,74.88,商,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4980000,66506,,0.0,0,,RPWOMLLLMHKFFEA08CA
士林區,土地,力行段三小段61~90地號,2504.89,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10102064,4033,,0.0,0,本案係屬關係人間之特殊交易。本案標的為陽明山國家公園內之第三種一般管制區及第四種一般管制區,其屬農業用地。,RPWNMLSLMHKFFEA68CA
士林區,土地,力行段三小段61~90地號,2713.84,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10944747,4033,,0.0,0,本案係屬關係人間之特殊交易。本案標的為陽明山國家公園內之第三種一般管制區及第四種一般管制區,其屬農業用地。,RPXNMLSLMHKFFEA78CA
大安區,房地(土地+建物),臺北市大安區四維路361~390號,35.62,其他,,,10402,土地2建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630324,110.9,3,2,2,有,無,24500000,220920,,0.0,0,含增建或未登記建物。,RPWOMLLJMHKFFFA97CA
大安區,房地(土地+建物),臺北市大安區羅斯福路二段101巷1~30號,25.0,住,,,10401,土地2建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710505,70.07,4,1,1,有,無,16500000,235479,,0.0,0,價格含增建。,RPRNMLMJMHKFFFA47CA
大安區,房地(土地+建物),臺北市大安區敦化南路二段31~60號,5.9,其他,,,10402,土地1建物1車位0,七層，陽台,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,,71.93,0,0,0,無,有,24200000,336438,,0.0,0,陽台外推,RPUNMLMJMHKFFFA77CA
大安區,房地(土地+建物)+車位,臺北市大安區通化街190巷1~30號,14.77,住,,,10402,土地1建物1車位1,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860130,61.2,0,1,1,有,有,9500000,155229,升降平面,0.0,0,含增建或未登記建物。,RPQNMLRJMHKFFFA87CA
大安區,車位,臺北市大安區臥龍街301~330號,0.24,住,,,10403,土地0建物0車位1,地下一層,13,其他,見其他登記事項,鋼筋混凝土造,0990513,46.82,0,0,0,有,有,2300000,,坡道平面,46.82,2300000,,RPRNMLRJMHKFFFA97CA
大安區,房地(土地+建物),臺北市大安區通化街39巷31~60號,19.0,商,,,10403,土地1建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740521,54.55,3,0,3,有,無,13400000,245646,,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄(含增建或未登記建物)。,RPQNMLSJMHKFFFA97CA
文山區,房地(土地+建物),臺北市文山區興隆路二段226巷1~30號,30.72,商,,,10403,土地1建物1車位0,六層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0751024,130.38,3,2,2,有,有,20980000,160927,,0.0,0,,RPSNMLKKMHKFFAA07DA
中正區,房地(土地+建物),臺北市中正區晉江街121~150號,27.5,商,,,10402,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,37.77,2,2,1,有,無,9410000,249140,,0.0,0,含增建或未登記建物。,RPWNMLOKMHKFFAA87DA
文山區,房地(土地+建物),臺北市文山區興隆路三段255巷6弄1~30號,29.43,住,,,10403,土地3建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750327,100.56,4,2,2,有,無,9650000,95963,,0.0,0,,RPQNMLSKMHKFFAA67DA
大同區,房地(土地+建物),臺北市大同區重慶北路二段61~90號,11.1,商,,,10403,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0720131,117.38,3,1,2,有,有,5020000,42767,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLMJMHKFFBA96DA
內湖區,房地(土地+建物),臺北市內湖區金湖路331~360號,9.7,住,,,10403,土地1建物1車位0,八層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880824,40.84,1,1,1,有,有,9500000,232615,,0.0,0,,RPTQMLLJMHKFFCA67DA
內湖區,房地(土地+建物),臺北市內湖區金龍路222巷1~30號,20.09,住,,,10403,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,64.49000000000001,2,2,1,有,有,11150000,172895,,0.0,0,,RPVQMLLJMHKFFCA87DA
內湖區,房地(土地+建物),臺北市內湖區港墘路100巷1~30號,20.77,商,,,10402,土地4建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670626,108.96,8,0,7,有,無,20350000,186766,,0.0,0,含增建或未登記建物。,RPVNMLNJMHKFFCA77DA
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段31~60號,9.91,商,,,10402,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960913,106.22,3,1,2,有,有,25000000,235361,塔式車位,2.8,0,含增建或未登記建物。,RPRNMLPJMHKFFCA57DA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路一段83巷1~30號,1.92,商,,,10403,土地2建物1車位1,一層,15,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970314,50.55,0,1,1,有,有,4000000,79130,坡道平面,35.36,0,,RPRNMLQJMHKFFCA67DA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街81巷1~30號,29.39,住,,,10401,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840307,133.48999999999998,3,2,2,有,有,25000000,187266,坡道機械,21.66,0,,RPRNMLRJMHKFFCA77DA
中山區,房地(土地+建物),臺北市中山區龍江路241~270號,25.46,住,,,10402,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710612,136.35,4,2,2,有,無,29080000,213275,,0.0,0,,RPOQMLRJMHKFFCA77DA
內湖區,房地(土地+建物)+車位,臺北市內湖區潭美街61~90號,25.55,住,,,10403,土地1建物1車位2,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011206,124.47999999999999,3,2,2,有,有,25300000,203246,塔式車位,0.0,0,,RPXNMLOKNHKFFCA28DA
南港區,房地(土地+建物),臺北市南港區成福路121~150號,13.97,住,,,10402,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830924,56.92,1,2,1,有,無,9920000,174280,,0.0,0,,RPUNMLMJMHKFFDA67DA
士林區,房地(土地+建物),臺北市士林區忠誠路二段154巷1~30號,33.63,住,,,10312,土地1建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0681207,121.24,3,3,2,有,無,34000000,280435,,0.0,0,含增建或未登記建物。,RPPNMLPJMHKFFEA57DA
士林區,房地(土地+建物),臺北市士林區忠誠路二段154巷23弄1~30號,33.63,住,,,10312,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0681207,121.24,4,3,2,有,無,33660000,277631,,0.0,0,含增建或未登記建物。,SPPNMLPJMHKFFEA67DA
士林區,房地(土地+建物)+車位,臺北市士林區大南路331~360號,22.38,工,,,10402,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961108,157.42000000000002,3,2,2,有,有,23300000,148012,坡道平面,31.81,0,,RPOOMLLKMHKFFEA27DA
大安區,房地(土地+建物),臺北市大安區信義路四段265巷12弄1~30號,22.43,住,,,10312,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730718,107.18,3,2,1,有,有,39280000,366486,,0.0,0,,RPVNMLMJMHKFFFA97DA
大安區,房地(土地+建物),臺北市大安區信義路四段31~60號,14.37,商,,,10402,土地2建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751229,161.41,2,2,2,有,有,50300000,311629,,0.0,0,,RPQNMLQJMHKFFFA87DA
大安區,房地(土地+建物),臺北市大安區信義路二段31~60號,3.66,商,,,10403,土地1建物1車位0,八層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0990122,40.81,1,1,1,有,有,16100000,394511,,0.0,0,含增建或未登記建物。,RPXNMLSJMHKFFFA78DA
北投區,房地(土地+建物)+車位,臺北市北投區新民路1~30號,61.33,住,,,10403,土地1建物1車位1,五層，六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740725,217.26,3,2,3,有,無,23000000,105864,坡道平面,0.0,0,,RPROMLKLMHKFFEA57DA
士林區,土地,溪洲段一小段121~150地號,9.44,其他,,,10403,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,456000,48305,,0.0,0,,RPUNMLNLMHKFFEA08DA
士林區,房地(土地+建物),臺北市士林區延平北路六段392巷1~30號,13.08,住,,,10403,土地1建物1車位0,四層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950215,56.18000000000001,1,1,1,有,有,7100000,126379,,0.0,0,,RPVOMLKKMHKFFEA87DA
大安區,房地(土地+建物),臺北市大安區光復南路240巷31~60號,9.51,商,,,10403,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941213,62.540000000000006,2,1,1,有,有,25500000,407739,,0.0,0,,RPRNMLTJMHKFFFA28DA
北投區,車位,臺北市北投區裕民六路1~30號,0.28,商,,,10403,土地0建物0車位1,地下三層，地下四層,22,其他,見使用執照,鋼筋混凝土造,0840828,44.9,0,0,0,有,有,2370000,,坡道平面,44.86,2370000,,RPPPMLMJMHKFFEA47DA
士林區,房地(土地+建物),臺北市士林區承德路四段80巷1~30號,31.86,住,,,10402,土地2建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0671208,110.95,4,3,2,有,無,24000000,216314,,0.0,0,含增建或未登記建物。,RPXPMLMJMHKFFEA28DA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段661~690號,18.81,商,,,10402,土地3建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750623,201.86,2,1,1,有,有,38000000,188240,坡道平面,41.67,0,,RPQNMLNJMHKFFEA47DA
信義區,房地(土地+建物),臺北市信義區吳興街284巷39弄1~30號,26.87,住,,,10402,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760704,100.71,2,2,1,有,無,13900000,138020,,0.0,0,,RPTOMLRJMHKFFDA18DA
信義區,車位,臺北市信義區臺北市信義區松德路1~30號,0.21,住,,,10403,土地0建物0車位1,地下二層,12,其他,見使用執照,鋼筋混凝土造,0800123,13.53,0,0,0,有,無,900000,,升降機械,13.53,900000,,RPSPMLKKMHKFFDA57DA
信義區,土地,信義段三小段31~60地號,41.38,其他,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,72000000,1739971,,0.0,0,,RPURMLLLMHKFFDA18DA
內湖區,房地(土地+建物),臺北市內湖區成功路四段167巷1~30號,16.5,住,,,10403,土地1建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840128,88.12,2,2,1,有,有,20850000,236609,,0.0,0,,RPPOMLQJMHKFFCA57DA
中山區,房地(土地+建物),臺北市中山區長安東路二段1~30號,7.57,商,,,10403,土地1建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960329,36.04,1,1,1,有,有,8580000,238069,,0.0,0,含增建或未登記建物。,RPPNMLOJMHKFFCA27DA
